Name,Symbol,YTD,_3MO,_1YR,_3YR,_5YR,_10YR,Yield,rating,Expenseratio,Mgrtenure,Netassets,Category
1838 International Equity,INTEX,17.52,21.16,17.52,11.78,,,0,****,1.25,3,"5,21,06,888",International Stocks
59 Wall Street International Equity,FNIEX,16.17,13.06,16.17,,,,0.25,,,1,"2,74,74,000",International Stocks
ABN AMRO International Equity Comm,RIEQX,25.43,22.35,25.43,13.02,11.21,,0.49,****,1.35,1,"14,28,58,478",International Stocks
ABN AMRO International Equity Inv,,24.87,22.33,24.87,12.67,10.9,,0.14,****,1.6,1,"10,13,040",International Stocks
Accessor International Equity,ACIEX,16.07,14.45,16.07,13.58,,,0,****,1.55,0,"15,05,51,215",International Stocks
Acorn International,ACINX,15.43,14.08,15.43,11.74,7.9,,0.71,***,1.19,6,"1,72,61,29,086",International Stocks
Aetna International I,AEIGX,18.34,14.86,18.34,19.12,12.59,,4.77,****,1.48,3,"3,88,87,409",International Stocks
AIM International Growth Adv,,4.84,17.81,4.84,7.7,,,0.83,***,1.34,2,"12,17,756",International Stocks
Alliance International Adv,ALIYX,9.96,15.81,9.96,,,,3.06,,1.47,0,"3,47,96,757",International Stocks
Alliance International Premier Gr Adv,,,21.67,,,,,,,,0,"14,74,209",International Stocks
Alliance Worldwide Privatization Adv,AWPYX,9.33,16.35,9.33,,,,1.43,,1.45,,"24,09,360",International Stocks
American AAdvantage Intl Equity AMR,AAIAX,12.07,15.3,12.07,13.92,,,2.19,****,0.58,4,"51,21,80,964",International Stocks
American AAdvantage Intl Equity Instl,AAIEX,11.73,15.19,11.73,13.61,11.79,,1.97,****,0.83,7,"43,60,52,983",International Stocks
American AAdvantage Intl Equity Milg,AAEMX,11.12,15.12,11.12,12.91,,,1.34,****,1.48,4,"51,54,725",International Stocks
American AAdvantage Intl Equity Plan,AAIPX,11.52,15.15,11.52,13.29,,,1.82,****,1.14,4,"4,75,93,060",International Stocks
American Cent-20th Cent Intl Disc Adv,,,13.68,,,,,,,,0,"11,210",International Stocks
American Cent-20th Cent Intl Disc Is,TIDIX,17.55,13.8,17.55,,,,0,,,0,"6,31,04,115",International Stocks
American Cent-20th Cent Intl Grth Adv,TWGAX,18.86,15.34,18.86,,,,0.05,,1.63,2,"2,38,16,154",International Stocks
American Cent-20th Cent Intl Grth Inv,TWIEX,19.01,15.21,19.01,17.7,11.68,,0.17,****,1.38,5,"2,64,00,40,865",International Stocks
American Cent-20th Cent Intl Grth Is,TGRIX,19.27,15.19,19.27,,,,0.38,,1.18,1,"1,44,38,259",International Stocks
Aon International Equity,AIEYX,14.58,17.52,14.58,,,,0.84,,1.4,2,"6,15,42,675",International Stocks
Arch International Equity Instl,,17.45,19.45,17.45,10.6,,,0.44,***,1.44,4,"84,29,722",International Stocks
Arch International Equity Tr,ARITX,17.9,19.49,17.9,10.89,,,0.65,***,1.14,4,"6,05,04,966",International Stocks
Armada International Equity Instl,AIEIX,19.98,20.11,19.98,,,,0.48,,,0,"17,56,00,081",International Stocks
Artisan International Intl,ARTIX,32.18,24.86,32.18,22.49,,,0.22,*****,1.45,3,"42,19,80,000",International Stocks
Avatar Advantage Intl Equity Alloc,,,11.87,,,,,,,,0,"4,12,591",International Stocks
Babson-Stewart Ivory International,BAINX,13.3,16.69,13.3,9.35,8.33,9.99,0.4,****,1.16,10,"9,65,86,699",International Stocks
"Bailard, Biehl & Kaiser Intl Equity",BBIEX,12.01,18.44,12.01,10.51,5.82,4.28,0.87,***,1.44,3,"12,33,90,428",International Stocks
Barr Rosenberg Intl Small Cap Instl,ICSIX,4.12,10.53,4.12,,,,1.05,,1.5,2,"4,11,00,021",International Stocks
Barr Rosenberg Intl Small Cap Sel,,3.64,10.3,3.64,,,,0.71,,1.91,2,"24,04,691",International Stocks
BB&T International Tr,BBTIX,11.37,16.09,11.37,,,,0.79,,,1,"8,42,13,958",International Stocks
BEA Intl Equity Instl,RBIEX,20.64,13.66,20.64,15.82,8.24,,1.15,***,1.16,6,"68,76,24,024",International Stocks
Berger/BIAM International,BBINX,14.92,19.38,14.92,,,,4.05,,1.8,2,"1,96,23,220",International Stocks
Berger/BIAM International CORE,BBICX,15.67,19.59,15.67,,,,2.71,,,2,"17,90,99,805",International Stocks
Bernstein International Value,SNIVX,10.95,11.45,10.95,12.51,9.82,,4.98,****,1.27,6,"5,14,75,00,021",International Stocks
BlackRock Intl Equity Instl,PNINX,15.45,17.54,15.45,9.65,7.94,,1.67,***,1.06,2,"96,02,70,601",International Stocks
BlackRock Intl Equity Svc,PIESX,15.1,17.46,15.1,9.28,7.44,,1.4,***,1.36,2,"14,27,12,368",International Stocks
BlackRock Intl Small Cap Eq Instl,BISIX,11.12,9.61,11.12,,,,2.24,,,1,"1,70,33,906",International Stocks
BNY Hamilton International Eq Inst,BNUIX,20.84,19.72,20.84,,,,0.13,,,1,"16,93,50,242",International Stocks
Boston 1784 International Equity,SEEQX,12.45,16.75,12.45,8.2,,,0.22,***,1.24,4,"44,62,26,090",International Stocks
Brandes Instl International Equity,BIIEX,14.65,19.28,14.65,,,,1.36,,1.19,2,"17,43,76,714",International Stocks
Brinson Global (Ex-U.S.) Equity I,BNUEX,14.39,17.15,14.39,10.9,9.73,,0.81,****,1,5,"48,74,67,741",International Stocks
Brinson Global (Ex-U.S.) Equity N,,13.96,16.86,13.96,,,,0.76,,,1,"13,188",International Stocks
BT Advisor EAFE Equity Index Instl,BTAEX,19.81,20.05,19.81,,,,2.14,,0.4,2,"3,83,58,460",International Stocks
BT Institutional Intl Eqty I,BEIIX,21.91,17.4,21.91,,,,0.69,,0.95,1,"73,52,74,125",International Stocks
BT Institutional Intl Eqty II,,22.9,17.27,22.9,,,,0.79,,0.75,1,"75,11,164",International Stocks
BT Investment International Equity,BTEQX,20.82,17.2,20.82,19.82,15.77,,0.23,*****,1.5,5,"1,40,02,02,775",International Stocks
Calvert World Values Intl Equity C,CWVCX,14.92,17.63,14.92,10.32,,,0,***,2.76,4,"93,66,220",International Stocks
Chase Vista Select Intl Equity,VSIEX,13.54,15.67,13.54,,,,2.93,,0.07,2,"23,12,90,132",International Stocks
CitiFunds International Growth,CFIPX,17.62,17.79,17.62,8.26,5.81,,0.07,***,1.75,4,"2,06,15,615",International Stocks
CitiFunds Intl Growth & Income,CIGIX,,16.18,,,,,,,,0,"1,71,36,355",International Stocks
